"Variety"	"Growth_Regulator"	"Fertility"	"Rep"	"Seed_Yield_samples"	"Seed_Yield_lbs_per_acre"	"Plant_Height"
"NE"	"None"	"60-F"	"3"	22	196	23
"NE"	"None"	"60-F"	"4"	21	187	24
"NE"	"Full"	"30-F"	"1"	9	80	18
"NE"	"Full"	"30-F"	"2"	18	160	20
"NE"	"Full"	"30-F"	"3"	14	125	23
"NE"	"Full"	"30-F"	"4"	11	98	24
"NE"	"Full"	"30-F/S"	"1"	18	160	19
"NE"	"Full"	"30-F/S"	"2"	13	116	20
"NE"	"Full"	"30-F/S"	"3"	11	98	23
"NE"	"Full"	"30-F/S"	"4"	3	27	21
"NE"	"Full"	"60-F"	"1"	7	62	19
"NE"	"Full"	"60-F"	"2"	19	169	21
"NE"	"Full"	"60-F"	"3"	20	178	22
"NE"	"Full"	"60-F"	"4"	19	169	20
"NE"	"Half"	"30-F"	"1"	12	107	18
"NE"	"Half"	"30-F"	"2"	18	160	18
"NE"	"Half"	"30-F"	"3"	26	231	22
"NE"	"Half"	"30-F"	"4"	11	98	24
"NE"	"Half"	"30-F/S"	"1"	14	125	19
"NE"	"Half"	"30-F/S"	"2"	27	240	20
"NE"	"Half"	"30-F/S"	"3"	17	151	21
"NE"	"Half"	"30-F/S"	"4"	11	98	21
"NE"	"Half"	"60-F"	"1"	7	62	18
"NE"	"Half"	"60-F"	"2"	13	116	20
"NE"	"Half"	"60-F"	"3"	24	214	20
"NE"	"Half"	"60-F"	"4"	12	107	20
"MN"	"None"	"30-F"	"1"	11	98	25
"MN"	"None"	"30-F"	"2"	19	169	26
"MN"	"None"	"30-F"	"3"	20	178	25
"MN"	"None"	"30-F"	"4"	11	98	25
"MN"	"None"	"30-F/S"	"1"	22	196	26
"MN"	"None"	"30-F/S"	"2"	18	160	26
"MN"	"None"	"30-F/S"	"3"	22	196	26
"MN"	"None"	"30-F/S"	"4"	22	196	26
"MN"	"None"	"60-F"	"1"	26	231	24
"MN"	"None"	"60-F"	"2"	15	134	24
"MN"	"None"	"60-F"	"3"	18	160	26
"MN"	"None"	"60-F"	"4"	31	276	26
"MN"	"Full"	"30-F"	"1"	6	53	22
"MN"	"Full"	"30-F"	"2"	13	116	24
"MN"	"Full"	"30-F"	"3"	21	187	24
"MN"	"Full"	"30-F"	"4"	15	134	25
"MN"	"Full"	"30-F/S"	"1"	26	231	24
"MN"	"Full"	"30-F/S"	"2"	28	249	25
"MN"	"Full"	"30-F/S"	"3"	16	142	23
"MN"	"Full"	"30-F/S"	"4"	10	89	25
"MN"	"Full"	"60-F"	"1"	16	142	23
"MN"	"Full"	"60-F"	"2"	25	223	23
"MN"	"Full"	"60-F"	"3"	38	338	26
"MN"	"Full"	"60-F"	"4"	23	205	24
"MN"	"Half"	"30-F"	"1"	7	62	21
"MN"	"Half"	"30-F"	"2"	22	196	22
"MN"	"Half"	"30-F"	"3"	13	116	22
"MN"	"Half"	"30-F"	"4"	17	151	24
"MN"	"Half"	"30-F/S"	"1"	25	223	23
"MN"	"Half"	"30-F/S"	"2"	28	249	23
"MN"	"Half"	"30-F/S"	"3"	24	214	26
"MN"	"Half"	"30-F/S"	"4"	23	205	24
"MN"	"Half"	"60-F"	"1"	17	151	22
"MN"	"Half"	"60-F"	"2"	40	356	21
"MN"	"Half"	"60-F"	"3"	33	294	24
"MN"	"Half"	"60-F"	"4"	24	214	23
