"rep"	"animal"	"diet"	"drug"	"glucose"
11	"sheep"	"cottonseed_meal"	"slaframine"	84
12	"goat"	"alfalfa_hay"	"control"	65
12	"goat"	"alfalfa_hay"	"slaframine"	75
12	"goat"	"control"	"control"	71
12	"goat"	"control"	"slaframine"	72
12	"goat"	"cottonseed_meal"	"control"	68
12	"goat"	"cottonseed_meal"	"slaframine"	53
12	"sheep"	"alfalfa_hay"	"control"	64
12	"sheep"	"alfalfa_hay"	"slaframine"	83
12	"sheep"	"control"	"control"	58
12	"sheep"	"control"	"slaframine"	91
12	"sheep"	"cottonseed_meal"	"control"	88
12	"sheep"	"cottonseed_meal"	"slaframine"	90
